Timestamp,CPU Usage (%),Memory Usage (%),Disk Usage (%)
1737110752.0580182,74.6,2.3,44.9
1737110753.0581057,75.2,2.3,44.9
1737110754.0581765,75.2,2.3,44.9
1737110755.058251,75.3,2.3,44.9
1737110756.0583026,59.0,2.3,44.9
1737110757.0583885,66.2,2.3,44.9
1737110758.058479,69.6,2.3,44.9
1737110759.058711,70.9,2.3,44.9
1737110760.0587988,70.1,2.3,44.9
1737110761.058798,65.7,2.3,44.9
1737110762.0588732,62.6,2.3,44.9
1737110763.0589693,60.9,2.3,44.9
1737110764.0590522,67.2,2.3,44.9
1737110765.0591407,65.6,2.3,44.9
1737110766.0592096,63.1,2.3,44.9
1737110767.0592673,66.0,2.3,44.9
1737110768.0593512,65.7,2.3,44.9
1737110769.059548,63.9,2.3,44.9
1737110770.0595884,70.0,2.3,44.9
1737110771.0596194,68.4,2.3,44.9
1737110772.0597384,74.4,2.3,44.9
1737110773.059798,73.8,2.3,44.9
1737110774.0598483,75.2,2.3,44.9
1737110775.0599194,75.3,2.3,44.9
1737110776.0600085,74.6,2.3,44.9
1737110777.0600975,75.3,2.3,44.9
1737110778.0601454,75.1,2.3,44.9
1737110779.0602872,74.7,2.3,44.9
1737110780.060367,75.1,2.3,44.9
1737110781.060451,74.8,2.3,44.9
1737110782.0604932,75.1,2.3,44.9
1737110783.0605826,74.5,2.3,44.9
1737110784.0606818,75.2,2.3,44.9
1737110785.0607674,75.3,2.3,44.9
1737110786.0608242,74.7,2.3,44.9
1737110787.060908,74.9,2.3,44.9
1737110788.0610108,74.8,2.3,44.9
1737110789.061083,75.5,2.3,44.9
1737110790.061179,74.1,2.3,44.9
1737110791.0612497,75.0,2.3,44.9
1737110792.0613594,75.1,2.3,44.9
1737110793.0614274,74.8,2.3,44.9
1737110794.0615044,75.5,2.3,44.9
1737110795.0615926,74.3,2.3,44.9
1737110796.0616941,75.1,2.3,44.9
1737110797.0617614,75.0,2.3,44.9
1737110798.0618465,73.5,2.3,44.9
1737110799.0619488,75.3,2.3,44.9
1737110800.062028,74.1,2.3,44.9
1737110801.0621111,75.3,2.3,44.9
1737110802.0621967,74.5,2.3,44.9
1737110803.0623143,75.3,2.3,44.9
1737110804.0623708,74.9,2.3,44.9
1737110805.0624528,75.2,2.3,44.9
1737110806.062515,74.9,2.3,44.9
1737110807.0626063,74.3,2.3,44.9
1737110808.0626707,75.2,2.3,44.9
1737110809.0627837,75.1,2.3,44.9
1737110810.0628507,75.2,2.3,44.9
1737110811.0629454,74.7,2.3,44.9
1737110812.0629823,74.8,2.3,44.9
1737110813.0631151,75.2,2.3,44.9
1737110814.063205,74.6,2.3,44.9
1737110815.0632987,70.1,2.3,44.9
1737110816.0634158,75.0,2.3,44.9
1737110817.0634875,75.2,2.3,44.9
1737110818.0635796,75.3,2.3,44.9
1737110819.0636659,74.6,2.3,44.9
1737110820.0637386,75.0,2.3,44.9
1737110821.063772,74.4,2.3,44.9
1737110822.0638425,75.2,2.3,44.9
1737110823.0639405,74.6,2.3,44.9
1737110824.0639992,74.4,2.3,44.9
1737110825.0641243,71.2,2.3,44.9
1737110826.0642111,73.5,2.3,44.9
1737110827.0642798,75.3,2.3,44.9
1737110828.0643532,75.2,2.3,44.9
1737110829.0644338,71.1,2.3,44.9
1737110830.0645332,74.8,2.3,44.9
1737110831.0646229,75.2,2.3,44.9
1737110832.064702,74.8,2.3,44.9
1737110833.0648448,74.7,2.3,44.9
1737110834.0648587,75.2,2.3,44.9
1737110835.0649273,74.9,2.3,44.9
1737110836.0650003,75.2,2.3,44.9
1737110837.0650978,75.1,2.3,44.9
1737110838.0651586,75.2,2.3,44.9
1737110839.065242,75.3,2.3,44.9
1737110840.0653722,74.6,2.3,44.9
1737110841.0654438,75.1,2.3,44.9
1737110842.0655215,74.0,2.3,44.9
1737110843.0656044,75.5,2.3,44.9
1737110844.065689,74.1,2.3,44.9
1737110845.0657792,75.1,2.3,44.9
1737110846.0658634,75.3,2.3,44.9
1737110847.065953,74.9,2.3,44.9
1737110848.0660355,75.4,2.3,44.9
1737110849.066171,75.2,2.3,44.9
1737110850.066207,73.6,2.3,44.9
1737110851.0662985,73.4,2.3,44.9
1737110852.066384,73.8,2.3,44.9
1737110853.0664623,74.1,2.3,44.9
1737110854.066544,75.0,2.3,44.9
1737110855.066634,75.6,2.3,44.9
1737110856.0667264,75.3,2.3,44.9
1737110857.0668015,75.4,2.3,44.9
1737110858.0668595,74.8,2.3,44.9
1737110859.0669572,74.7,2.3,44.9
1737110860.0671053,75.0,2.3,44.9
1737110861.0671542,75.3,2.3,44.9
1737110862.0672266,75.2,2.3,44.9
1737110863.0673916,75.2,2.3,44.9
1737110864.0673916,75.1,2.3,44.9
1737110865.0674508,75.1,2.3,44.9
1737110866.0675392,75.5,2.3,44.9
1737110867.0676281,75.4,2.3,44.9
1737110868.0677094,74.4,2.3,44.9
1737110869.067773,75.4,2.3,44.9
1737110870.0679135,75.0,2.3,44.9
1737110871.0679781,74.8,2.3,44.9
1737110872.068051,75.4,2.3,44.9
1737110873.0681076,75.6,2.3,44.9
1737110874.068183,75.1,2.3,44.9
1737110875.0682704,74.7,2.3,44.9
1737110876.0683382,75.1,2.3,44.9
1737110877.0684414,75.1,2.3,44.9
1737110878.0685225,75.1,2.3,44.9
1737110879.068608,74.7,2.3,44.9
1737110880.0687292,75.4,2.3,44.9
1737110881.0687811,75.1,2.3,44.9
1737110882.0688596,74.4,2.3,44.9
1737110883.068936,75.4,2.3,44.9
1737110884.0689929,74.9,2.3,44.9
1737110885.069077,74.4,2.3,44.9
1737110886.0692253,75.1,2.3,44.9
1737110887.0693564,74.9,2.3,44.9
1737110888.0693774,75.5,2.3,44.9
1737110889.0694432,75.3,2.3,44.9
1737110890.0695083,74.9,2.3,44.9
1737110891.069605,75.4,2.3,44.9
1737110892.0696933,74.4,2.3,44.9
1737110893.069773,75.1,2.3,44.9
1737110894.069832,75.1,2.3,44.9
1737110895.0699193,70.2,2.3,44.9
1737110896.0700426,18.5,2.3,44.9
1737110897.0701382,39.5,2.3,44.9
1737110898.0702,75.5,2.3,44.9
1737110899.0702538,73.9,2.3,44.9
1737110900.070355,74.7,2.3,44.9
1737110901.0706306,74.8,2.3,44.9
1737110902.0705621,74.7,2.3,44.9
1737110903.0705934,75.3,2.3,44.9
1737110904.0707147,73.8,2.3,44.9
1737110905.070806,75.3,2.3,44.9
1737110906.0708792,74.6,2.3,44.9
1737110907.0709624,75.2,2.3,44.9
1737110908.0710576,75.1,2.3,44.9
1737110909.071136,74.8,2.3,44.9
1737110910.0711906,75.2,2.3,44.9
1737110911.0713046,74.9,2.3,44.9
1737110912.0713897,75.2,2.3,44.9
