Elapsed Seconds,CPU Usage (%),Memory Usage (%),Disk Usage (%)
0.0,0.0,7.1,16.9
Elapsed Seconds,CPU Usage (%),Memory Usage (%),Disk Usage (%)
0.0,0.0,6.7,16.9
Elapsed Seconds,CPU Usage (%),Memory Usage (%),Disk Usage (%)
0.0,0.0,7.0,16.9
Elapsed Seconds,CPU Usage (%),Memory Usage (%),Disk Usage (%)
187.02,100.0,21.0,22.3
Elapsed Seconds,CPU Usage (%),Memory Usage (%),Disk Usage (%)
0.0,0.0,7.2,22.3
Elapsed Seconds,CPU Usage (%),Memory Usage (%),Disk Usage (%)
0.0,0.0,7.1,22.3
1.0,88.0,20.0,22.3
2.0,81.4,20.4,22.3
Elapsed Seconds,CPU Usage (%),Memory Usage (%),Disk Usage (%)
0.0,0.0,7.0,22.3
Elapsed Seconds,CPU Usage (%),Memory Usage (%),Disk Usage (%)
0.0,0.0,7.0,22.3
Elapsed Seconds,CPU Usage (%),Memory Usage (%),Disk Usage (%)
0.0,100.0,7.1,22.3
Elapsed Seconds,CPU Usage (%),Memory Usage (%),Disk Usage (%)
0.0,0.0,7.1,22.3
Elapsed Seconds,CPU Usage (%),Memory Usage (%),Disk Usage (%)
0.0,0.0,7.0,22.3
Elapsed Seconds,CPU Usage (%),Memory Usage (%),Disk Usage (%)
0.0,0.0,7.1,22.3
1.0,91.0,20.1,22.3
2.0,97.5,20.6,22.3
3.0,100.0,20.7,22.3
4.0,100.0,20.7,22.3
5.0,100.0,20.7,22.3
6.0,100.0,20.7,22.3
7.0,100.0,20.7,22.3
8.0,99.8,20.8,22.3
9.0,100.0,20.8,22.3
10.0,100.0,20.7,22.3
11.0,100.0,20.7,22.3
12.0,100.0,20.7,22.3
13.0,100.0,20.7,22.3
14.0,100.0,20.7,22.3
15.0,99.5,20.7,22.3
16.0,99.5,20.8,22.3
17.0,100.0,20.8,22.3
18.0,100.0,20.7,22.3
19.0,100.0,20.7,22.3
20.0,100.0,20.7,22.3
21.0,100.0,20.7,22.3
22.0,100.0,20.7,22.3
23.0,100.0,21.0,22.3
24.0,99.8,21.8,22.3
25.0,99.5,22.0,22.3
26.0,99.8,21.9,22.3
27.0,100.0,21.7,22.3
28.0,100.0,21.3,22.3
29.0,100.0,21.1,22.3
30.0,99.5,21.0,22.3
31.0,100.0,20.9,22.3
32.0,100.0,20.9,22.3
33.0,100.0,20.9,22.3
34.0,100.0,20.8,22.3
35.0,100.0,20.8,22.3
36.0,99.8,20.8,22.3
37.0,100.0,20.8,22.3
38.0,100.0,20.8,22.3
39.0,100.0,20.8,22.3
40.0,100.0,20.8,22.3
41.0,100.0,20.8,22.3
42.0,100.0,20.8,22.3
43.0,99.8,20.8,22.3
44.0,100.0,20.8,22.3
45.0,100.0,20.8,22.3
46.0,100.0,20.8,22.3
47.0,100.0,20.8,22.3
48.0,100.0,20.8,22.3
49.0,100.0,20.8,22.3
50.0,99.8,20.8,22.3
51.0,100.0,20.8,22.3
52.0,100.0,20.8,22.3
53.01,100.0,20.8,22.3
54.01,100.0,20.8,22.3
55.01,100.0,20.8,22.3
56.01,100.0,20.8,22.3
57.01,100.0,20.8,22.3
58.01,100.0,20.8,22.3
59.01,100.0,20.8,22.3
60.01,100.0,20.8,22.3
61.01,100.0,20.8,22.3
62.01,100.0,20.8,22.3
63.01,100.0,20.8,22.3
64.01,100.0,20.8,22.3
65.01,100.0,20.8,22.3
66.01,100.0,20.8,22.3
67.01,100.0,20.8,22.3
68.01,99.8,20.8,22.3
69.01,99.7,20.9,22.3
70.01,100.0,20.9,22.3
71.01,99.8,20.9,22.3
72.01,100.0,20.8,22.3
73.01,100.0,20.8,22.3
74.01,100.0,20.9,22.3
75.01,100.0,20.9,22.3
76.01,100.0,20.9,22.3
77.01,100.0,20.9,22.3
78.01,99.8,20.9,22.3
79.01,100.0,20.9,22.3
80.01,100.0,20.9,22.3
81.01,100.0,20.8,22.3
82.01,100.0,20.9,22.3
83.01,100.0,20.9,22.3
84.01,100.0,20.8,22.3
85.01,99.7,20.8,22.3
86.01,100.0,20.8,22.3
87.01,100.0,20.8,22.3
88.01,100.0,20.8,22.3
89.01,100.0,20.8,22.3
90.01,100.0,20.8,22.3
91.01,100.0,20.8,22.3
92.01,100.0,20.8,22.3
93.01,100.0,20.8,22.3
94.01,100.0,20.8,22.3
95.01,100.0,20.8,22.3
96.01,100.0,20.8,22.3
97.01,100.0,20.8,22.3
98.01,100.0,20.8,22.3
99.01,100.0,20.8,22.3
100.01,100.0,20.8,22.3
101.01,100.0,20.8,22.3
102.01,100.0,20.8,22.3
103.01,100.0,20.8,22.3
104.01,100.0,20.8,22.3
105.01,100.0,20.8,22.3
106.01,99.5,20.8,22.3
107.01,100.0,20.9,22.3
108.01,100.0,20.9,22.3
109.01,100.0,20.9,22.3
110.01,100.0,20.9,22.3
111.01,100.0,20.9,22.3
112.01,100.0,20.9,22.3
113.01,100.0,20.9,22.3
114.01,100.0,20.9,22.3
115.01,100.0,20.9,22.3
116.01,100.0,20.9,22.3
117.01,100.0,20.9,22.3
118.01,100.0,20.8,22.3
119.01,100.0,20.8,22.3
120.01,99.5,20.8,22.3
121.01,100.0,20.8,22.3
122.01,100.0,20.8,22.3
123.01,100.0,20.8,22.3
124.01,100.0,20.8,22.3
125.01,100.0,20.8,22.3
126.01,100.0,20.8,22.3
127.01,99.8,20.9,22.3
128.01,100.0,20.9,22.3
129.01,100.0,20.9,22.3
130.01,100.0,20.8,22.3
131.01,100.0,20.8,22.3
132.01,100.0,20.8,22.3
133.01,100.0,20.8,22.3
134.01,100.0,20.9,22.3
135.01,100.0,20.8,22.3
136.01,100.0,20.8,22.3
137.01,100.0,20.8,22.3
138.01,100.0,20.8,22.3
139.01,100.0,20.8,22.3
140.01,100.0,20.8,22.3
141.01,100.0,20.8,22.3
142.01,100.0,20.8,22.3
143.01,100.0,20.8,22.3
144.01,99.7,20.9,22.3
145.01,99.8,20.9,22.3
146.01,100.0,20.9,22.3
147.01,100.0,20.9,22.3
148.01,99.7,20.9,22.3
149.01,100.0,21.0,22.3
150.01,100.0,20.9,22.3
151.01,100.0,20.9,22.3
152.01,100.0,20.9,22.3
153.01,100.0,20.8,22.3
154.01,100.0,20.8,22.3
155.01,100.0,20.8,22.3
156.01,100.0,20.8,22.3
157.01,100.0,20.8,22.3
158.01,100.0,20.8,22.3
159.01,100.0,20.9,22.3
160.01,100.0,20.8,22.3
161.01,100.0,20.8,22.3
162.01,100.0,20.8,22.3
163.01,100.0,20.8,22.3
164.01,100.0,20.9,22.3
165.01,100.0,20.8,22.3
166.01,100.0,20.8,22.3
167.01,100.0,20.8,22.3
168.01,100.0,20.8,22.3
169.01,100.0,20.8,22.3
170.01,100.0,20.8,22.3
171.01,100.0,20.8,22.3
172.01,99.5,20.8,22.3
173.01,100.0,20.8,22.3
174.01,100.0,20.8,22.3
175.01,100.0,20.8,22.3
176.01,100.0,20.8,22.3
177.02,100.0,20.8,22.3
178.02,100.0,20.8,22.3
179.02,100.0,20.8,22.3
180.02,100.0,20.8,22.3
181.02,100.0,20.8,22.3
182.02,99.8,20.8,22.3
183.02,100.0,20.9,22.3
184.02,100.0,20.9,22.3
185.02,100.0,20.9,22.3
186.02,100.0,20.9,22.3
187.02,100.0,20.9,22.3
Elapsed Seconds,CPU Usage (%),Memory Usage (%),Disk Usage (%)
0.0,0.0,7.1,22.3
1.0,86.8,20.0,22.3
2.0,85.8,20.4,22.3
Elapsed Seconds,CPU Usage (%),Memory Usage (%),Disk Usage (%)
0.0,0.0,7.0,22.3
1.0,91.1,20.1,22.3
2.0,93.4,20.5,22.3
Elapsed Seconds,CPU Usage (%),Memory Usage (%),Disk Usage (%)
0.0,0.0,7.0,22.3
1.0,81.9,20.0,22.3
2.0,93.2,20.5,22.3
Elapsed Seconds,CPU Usage (%),Memory Usage (%),Disk Usage (%)
0.0,0.0,7.1,22.3
1.0,94.0,20.1,22.3
2.0,94.3,20.5,22.3
Elapsed Seconds,CPU Usage (%),Memory Usage (%),Disk Usage (%)
0.0,0.0,7.1,22.3
Elapsed Seconds,CPU Usage (%),Memory Usage (%),Disk Usage (%)
0.0,0.0,7.0,22.3
1.0,88.0,20.0,22.3
2.0,84.0,20.4,22.3
Elapsed Seconds,CPU Usage (%),Memory Usage (%),Disk Usage (%)
0.0,0.0,7.0,22.3
1.0,92.8,20.1,22.3
2.0,96.5,20.5,22.3
3.0,96.7,20.5,22.3
4.0,98.5,20.6,22.3
5.0,97.7,20.6,22.3
6.0,98.5,20.6,22.3
7.0,99.0,20.6,22.3
8.0,99.0,20.6,22.3
9.0,98.8,20.6,22.3
10.0,99.2,20.5,22.3
11.0,99.0,20.6,22.3
12.0,99.0,20.5,22.3
13.0,99.2,20.5,22.3
14.0,98.7,20.6,22.3
15.0,99.2,20.6,22.3
16.0,99.3,20.5,22.3
17.0,99.0,20.5,22.3
18.0,95.2,20.6,22.3
19.0,61.4,20.6,22.3
20.0,74.7,20.6,22.3
21.0,95.3,20.5,22.3
22.0,98.5,20.7,22.3
23.0,99.0,20.6,22.3
24.0,99.2,20.6,22.3
25.0,99.5,20.6,22.3
26.0,99.2,20.6,22.3
27.0,99.5,20.6,22.3
28.0,99.0,20.6,22.3
29.0,99.5,20.6,22.3
30.0,97.8,20.6,22.3
31.0,99.5,20.6,22.3
32.0,99.5,20.6,22.3
33.0,99.8,20.6,22.3
34.0,98.5,20.6,22.3
35.0,99.8,20.6,22.3
36.0,99.8,20.6,22.3
37.0,99.5,20.6,22.3
38.0,99.8,20.6,22.3
39.0,99.3,20.6,22.3
40.0,99.3,20.7,22.3
41.0,99.0,20.6,22.3
42.0,99.7,20.6,22.3
43.0,99.5,20.6,22.3
44.0,99.8,20.6,22.3
45.0,99.0,20.6,22.3
46.0,99.7,20.6,22.3
47.0,99.8,20.6,22.3
48.0,99.5,20.6,22.3
49.0,99.8,20.6,22.3
50.0,99.7,20.6,22.3
51.0,99.5,20.6,22.3
52.0,99.5,20.6,22.3
53.0,99.8,20.6,22.3
54.0,99.5,20.6,22.3
55.0,99.5,20.6,22.3
56.0,99.8,20.6,22.3
57.0,99.8,20.6,22.3
58.0,99.8,20.6,22.3
59.0,99.5,20.6,22.3
60.0,99.5,20.7,22.3
61.01,99.8,20.7,22.3
62.01,99.5,20.7,22.3
63.01,99.7,20.7,22.3
64.01,99.3,20.7,22.3
65.01,99.5,20.6,22.3
66.01,99.3,20.6,22.3
67.01,99.2,20.7,22.3
68.01,99.5,20.7,22.3
69.01,99.7,20.7,22.3
70.01,97.3,20.7,22.3
71.01,99.5,20.7,22.3
72.01,98.0,20.6,22.3
73.01,99.7,20.6,22.3
74.01,99.0,20.6,22.3
75.01,98.0,20.6,22.3
76.01,99.2,20.6,22.3
77.01,99.3,20.6,22.3
78.01,92.9,20.6,22.3
79.01,98.0,20.6,22.3
80.01,99.7,20.6,22.3
81.01,99.5,20.6,22.3
82.01,99.7,20.6,22.3
83.01,99.7,20.6,22.3
84.01,96.8,20.6,22.3
85.01,99.8,20.6,22.3
86.01,99.8,20.6,22.3
87.01,99.8,20.6,22.3
88.01,99.5,20.6,22.3
89.01,99.5,20.6,22.3
90.01,99.3,20.7,22.3
91.01,99.5,20.6,22.3
92.01,99.0,20.6,22.3
93.01,99.5,20.6,22.3
94.01,99.7,20.6,22.3
95.01,99.8,20.6,22.3
96.01,99.5,20.6,22.3
97.01,99.5,20.6,22.3
98.01,99.2,20.7,22.3
99.01,99.8,20.7,22.3
100.01,99.5,20.7,22.3
101.01,99.7,20.7,22.3
102.01,99.7,20.7,22.3
103.01,99.7,20.7,22.3
104.01,97.5,20.6,22.3
105.01,99.7,20.6,22.3
106.01,99.7,20.6,22.3
107.01,98.5,20.6,22.3
108.01,99.7,20.6,22.3
109.01,99.8,20.7,22.3
110.01,99.7,20.6,22.3
111.01,99.7,20.6,22.3
112.01,98.0,20.6,22.3
113.01,100.0,20.6,22.3
114.01,99.8,20.6,22.3
115.01,99.8,20.6,22.3
116.01,99.8,20.6,22.3
117.01,99.5,20.6,22.3
118.01,99.7,20.6,22.3
119.01,99.8,20.6,22.3
120.01,99.7,20.6,22.3
121.01,99.7,20.6,22.3
122.01,99.8,20.6,22.3
123.01,99.5,20.6,22.3
124.01,99.7,20.6,22.3
125.01,99.8,20.6,22.3
126.01,99.8,20.6,22.3
127.01,100.0,20.8,22.3
128.01,99.3,20.8,22.3
129.01,99.5,20.8,22.3
130.01,99.5,20.8,22.3
131.01,99.5,20.8,22.3
132.01,99.8,20.8,22.3
133.01,99.7,20.7,22.3
134.01,99.5,20.7,22.3
135.01,99.8,20.7,22.3
136.01,99.5,20.8,22.3
137.01,99.5,20.8,22.3
138.01,99.5,20.8,22.3
139.01,99.7,20.8,22.3
140.01,99.5,20.7,22.3
141.01,99.7,20.7,22.3
142.01,99.5,20.7,22.3
143.01,99.3,20.7,22.3
144.01,99.7,20.7,22.3
145.01,99.7,20.7,22.3
146.01,99.8,20.7,22.3
147.01,99.7,20.6,22.3
148.01,99.5,20.6,22.3
149.01,99.7,20.6,22.3
150.01,99.8,20.6,22.3
151.01,99.2,20.6,22.3
152.01,99.8,20.7,22.3
153.01,100.0,20.7,22.3
154.01,99.8,20.7,22.3
155.01,99.8,20.6,22.3
156.01,99.8,20.6,22.3
157.01,100.0,20.6,22.3
158.01,99.3,20.7,22.3
159.01,99.5,20.7,22.3
160.01,99.5,20.6,22.3
161.01,99.8,20.6,22.3
162.01,99.5,20.6,22.3
163.01,99.5,20.6,22.3
164.01,99.5,20.6,22.3
165.01,99.8,20.7,22.3
166.01,99.5,20.7,22.3
167.01,99.5,20.7,22.3
168.01,99.5,20.7,22.3
169.01,99.7,20.7,22.3
170.01,99.7,20.7,22.3
171.01,99.7,20.7,22.3
172.01,99.5,20.7,22.3
173.01,99.5,20.7,22.3
174.01,99.2,20.8,22.3
175.01,99.7,20.8,22.3
176.01,99.8,20.8,22.3
177.01,99.5,20.8,22.3
178.02,99.7,20.7,22.3
179.02,99.5,20.7,22.3
180.02,99.8,20.7,22.3
181.02,99.7,20.7,22.3
182.02,99.5,20.7,22.3
183.02,100.0,20.7,22.3
184.02,99.5,20.7,22.3
185.02,99.0,20.7,22.3
186.02,99.5,20.7,22.3
187.02,99.5,20.7,22.3
188.02,99.7,20.7,22.3
189.02,99.5,20.6,22.3
190.02,99.5,20.6,22.3
191.02,99.8,20.6,22.3
192.02,99.5,20.6,22.3
193.02,99.5,20.7,22.3
194.02,99.2,20.7,22.3
195.02,99.5,20.7,22.3
196.02,99.7,20.6,22.3
197.02,99.8,20.6,22.3
198.02,99.5,20.7,22.3
199.02,99.8,20.6,22.3
200.02,99.7,20.7,22.3
201.02,99.5,20.6,22.3
202.02,99.8,20.7,22.3
203.02,99.8,20.8,22.3
204.02,99.7,20.8,22.3
205.02,99.8,20.8,22.3
206.02,99.8,20.8,22.3
207.02,99.2,20.9,22.3
208.02,99.5,20.9,22.3
209.02,99.8,20.9,22.3
210.02,99.5,20.8,22.3
211.02,99.7,20.8,22.3
212.02,99.7,20.9,22.3
213.02,99.5,20.9,22.3
214.02,99.5,20.9,22.3
215.02,99.7,20.9,22.3
216.02,99.3,20.8,22.3
217.02,99.8,20.8,22.3
218.02,100.0,20.8,22.3
219.02,99.8,20.8,22.3
220.02,99.7,20.8,22.3
221.02,99.5,20.8,22.3
222.02,99.7,20.8,22.3
223.02,99.8,20.8,22.3
224.02,98.5,20.8,22.3
225.02,96.5,20.7,22.3
226.02,85.0,20.7,22.3
227.02,92.5,20.7,22.3
228.02,94.0,20.7,22.3
Elapsed Seconds,CPU Usage (%),Memory Usage (%),Disk Usage (%)
0.0,0.0,7.3,22.3
1.0,93.5,20.4,22.3
2.0,94.9,20.8,22.3
3.0,100.0,21.0,22.3
4.0,99.8,21.0,22.3
5.0,100.0,21.0,22.3
6.0,99.8,21.2,22.3
7.0,100.0,21.1,22.3
8.0,100.0,21.1,22.3
9.0,100.0,21.1,22.3
10.0,100.0,21.1,22.3
11.0,100.0,21.1,22.3
12.0,99.8,21.1,22.3
13.0,100.0,21.1,22.3
14.0,100.0,21.0,22.3
15.0,100.0,21.0,22.3
16.0,100.0,21.0,22.3
17.0,100.0,21.0,22.3
18.0,100.0,21.0,22.3
19.0,99.8,21.0,22.3
20.0,100.0,21.0,22.3
21.0,100.0,21.0,22.3
22.0,100.0,21.0,22.3
23.0,100.0,21.0,22.3
24.0,100.0,21.0,22.3
25.0,99.2,21.0,22.3
26.0,100.0,21.0,22.3
27.0,100.0,21.0,22.3
28.0,99.5,21.0,22.3
29.0,100.0,21.0,22.3
30.0,100.0,21.0,22.3
31.0,100.0,21.0,22.3
32.0,100.0,21.0,22.3
33.0,99.7,21.0,22.3
34.0,100.0,21.0,22.3
35.0,100.0,21.0,22.3
36.0,100.0,21.1,22.3
37.0,100.0,21.1,22.3
38.0,100.0,21.1,22.3
39.0,100.0,21.1,22.3
40.0,99.8,21.1,22.3
41.0,99.8,21.1,22.3
42.0,100.0,21.1,22.3
43.0,100.0,21.1,22.3
44.0,99.5,21.1,22.3
45.0,100.0,21.1,22.3
46.0,100.0,21.1,22.3
47.0,100.0,21.0,22.3
48.0,100.0,21.0,22.3
49.0,100.0,21.0,22.3
50.0,100.0,21.0,22.3
51.0,100.0,21.0,22.3
52.01,100.0,21.0,22.3
53.01,100.0,21.0,22.3
54.01,99.8,21.1,22.3
55.01,100.0,21.0,22.3
56.01,100.0,21.0,22.3
57.01,100.0,21.1,22.3
58.01,100.0,21.1,22.3
59.01,100.0,21.1,22.3
60.01,100.0,21.1,22.3
61.01,99.5,21.1,22.3
62.01,100.0,21.1,22.3
63.01,100.0,21.1,22.3
64.01,100.0,21.1,22.3
65.01,100.0,21.1,22.3
66.01,100.0,21.1,22.3
67.01,100.0,21.1,22.3
68.01,99.7,21.0,22.3
