Timestamp,CPU Usage (%),Memory Usage (%),Disk Usage (%)
1737196863.4940467,90.4,56.4,68.9
1737196864.4940817,89.0,56.7,68.9
1737196865.4941554,88.2,57.1,68.9
1737196866.494245,89.1,57.4,68.9
1737196867.494304,88.7,57.7,68.9
1737196868.4943805,89.3,58.0,68.9
1737196869.4944696,89.8,58.4,68.9
1737196870.4945366,91.5,58.7,68.9
1737196871.4946272,91.5,59.0,68.9
1737196872.4946952,90.8,59.4,68.9
1737196873.4947755,89.5,59.7,68.9
1737196874.4948559,91.2,60.0,68.9
1737196875.4949257,83.2,60.3,68.9
1737196876.4950278,90.2,60.7,68.9
1737196877.4950886,88.0,61.0,68.9
1737196878.4951677,90.7,61.3,68.9
1737196879.495257,92.3,61.6,68.9
1737196880.4953308,92.2,62.0,68.9
1737196881.4954674,91.4,62.3,68.9
1737196882.4954882,90.8,62.7,68.9
1737196883.4955785,88.6,63.1,68.9
1737196884.4956505,89.5,63.4,68.9
1737196885.4957259,89.8,63.8,68.9
1737196886.4958375,90.7,64.2,68.9
1737196887.4959357,91.0,64.5,68.9
1737196888.4959989,90.0,64.9,68.9
1737196889.496084,90.3,65.3,68.9
1737196890.496168,90.8,65.7,68.9
1737196891.4962382,90.8,66.0,68.9
1737196892.4963224,92.0,66.4,68.9
1737196893.496392,86.1,66.8,68.9
1737196894.496475,84.6,67.1,68.9
1737196895.4965498,75.9,67.4,68.9
1737196896.4966238,96.0,67.8,68.9
1737196897.4966981,99.5,68.2,68.9
1737196898.4967737,98.5,68.7,68.9
1737196899.4968483,84.9,69.0,68.9
1737196900.4969358,85.3,69.4,68.9
1737196901.4970715,86.8,69.7,68.9
1737196902.4970884,86.3,70.1,68.9
1737196903.497182,83.3,70.4,68.9
1737196904.4972458,86.6,70.8,68.9
1737196905.4973383,87.0,71.1,68.9
1737196906.4974806,82.5,71.5,68.9
1737196907.4974995,86.3,71.8,68.9
1737196908.497583,85.3,72.2,68.9
1737196909.4977372,18.5,72.3,68.9
1737196910.4978154,0.0,72.3,68.9
1737196911.4979253,69.0,72.5,68.9
1737196912.497959,84.3,72.8,68.9
1737196913.4980395,89.0,73.2,68.9
